word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,margin_local,local_top_atom,l2_self,focus_rate
auld,adj,PRP.old,0.872128,0.888444,ELM.sky,-0.016316,0.021159,PRP.clean,6.572628,0.5994
incriminate,v,SOC.criticize,0.924428,0.903264,VAL.falsehood,0.021164,0.021164,VAL.falsehood,9.238897,0.5731
wide-screen,adj,PRP.wide,0.91224,0.891068,PRP.low,0.021172,0.021172,PRP.low,5.271122,0.8217
brush up,v,COG.remember,0.835502,0.814328,COG.learn,0.021174,0.021174,COG.learn,7.422357,0.3117
facial,adj,BOD.face,0.868941,0.847755,STA.wealth,0.021185,0.021186,STA.wealth,8.640812,0.4966
lockage,n,ACT.create,0.652853,0.65247,WLD.science,0.000383,0.021194,ACT.build,11.547827,0.415
stylize,v,SPC.direction,0.806259,0.816189,FND.language,-0.00993,0.021205,TIM.moment,9.050864,0.6508
soppy,adj,PRP.wet,0.899778,0.878572,PRP.dirty,0.021206,0.021206,PRP.dirty,6.058782,0.9448
channelize,v,ACT.build,0.841532,0.820319,CHG.advance,0.021213,0.021213,CHG.advance,6.309006,0.38
pique,v,EMO.anger,0.978829,0.957593,EMO.shame,0.021237,0.021236,EMO.shame,3.409753,0.4671
erase,v,MAT.tool,0.869679,0.861445,WLD.art,0.008234,0.021251,ACT.ascend,12.415039,0.4958
blooming,n,NAT.flower,0.84567,0.848792,CHG.begin,-0.003123,0.021261,CHG.grow,17.345794,0.3764
depressed,adj,PRP.narrow,0.937133,0.915871,FND.spatiality,0.021262,0.021262,FND.spatiality,6.06741,0.8119
iniquitous,adj,VAL.evil,0.935655,0.91438,VAL.profane,0.021275,0.021275,VAL.profane,6.451845,0.6376
localization,n,FND.spatiality,0.894171,0.872893,PRP.part,0.021278,0.021278,PRP.part,4.996946,0.342
scholar,n,SOC.individual,0.874006,0.934521,COG.learn,-0.060515,0.021279,SOC.awake,7.054788,0.8801
conceptual,adj,ACT.create,0.746032,0.859262,FND.mind,-0.11323,0.021293,PRP.new,10.415393,0.5801
acrogenous,adj,EXS.being,0.668374,0.696161,FND.timeless,-0.027787,0.021303,FND.languageless,18.197978,0.4662
