word,pos,assigned_atom,cos_self,cos_top2,top2_atom,margin,l2_self,focus_rate,re_observed
evaluator,n,COG.think,0.827918,0.888361,COM.announce,-0.060443,11.145065,0.6025,False
tenner,n,ECO.currency,0.88135,0.941791,PRP.large,-0.060441,8.569117,0.6764,False
smallish,adj,PRP.small,0.837173,0.897604,PRP.shallow,-0.06043,6.98939,0.3648,False
formication,n,ACT.move,0.871282,0.931699,PER.smell,-0.060418,9.10803,0.6877,False
slipperwort,n,NAT.flower,0.766281,0.826695,NAT.tree,-0.060414,8.335395,0.6494,True
puking,n,STA.illness,0.886075,0.946485,PER.blind,-0.06041,11.366691,0.4204,False
queasy,adj,STA.illness,0.886075,0.946485,PER.blind,-0.06041,11.366691,0.4047,False
decay,v,FND.transformation,0.817023,0.877427,ACT.dissolve,-0.060404,13.309021,0.5196,False
way,n,SPC.direction,0.810934,0.871319,EXS.vitality,-0.060385,7.777171,0.4785,False
railroad,n,SOC.homeless,0.740988,0.80137,ELM.wind,-0.060382,6.459349,0.3412,False
fill,v,EXS.void,0.753377,0.813757,EXS.being,-0.06038,17.631896,0.5118,False
saltate,v,ACT.move,0.875555,0.935932,ACT.sit,-0.060377,10.644558,0.5768,False
oilcan,n,PRP.possible,0.818677,0.879052,PRP.rough,-0.060375,7.453658,0.7986,False
shelver,n,SOC.homeless,0.69608,0.756455,TIM.come,-0.060375,8.864178,0.5559,True
besprent,adj,ELM.water,0.807755,0.868119,PRP.wet,-0.060364,8.200321,0.9115,False
buss,v,PER.touch,0.852605,0.912967,PRP.hot,-0.060361,7.970808,0.7485,False
fit out,v,MAT.clothing,0.840475,0.900832,EMO.manifest,-0.060358,9.828676,0.6152,False
oxidative,adj,FND.transformation,0.827584,0.887937,ACT.dissolve,-0.060353,9.803425,0.6677,False
impregnation,n,EXS.matter,0.813928,0.874274,EXS.vitality,-0.060346,12.444182,0.5465,False
jolt,v,ACT.move,0.721324,0.781664,ACT.emit,-0.06034,9.472118,0.7244,False
dishonorable discharge,n,ABS.release,0.854226,0.914565,SOC.refuse,-0.060339,12.127744,0.6292,False
work through,v,FND.labor,0.821974,0.882311,ECO.save,-0.060337,7.632573,0.464,False
alchemistical,adj,SOC.individual,0.81933,0.879665,WLD.art,-0.060335,16.829325,0.4412,False
delectable,adj,PER.delicious,0.872807,0.933134,VAL.beauty,-0.060327,11.767585,0.4907,False
soften,v,COM.conduct,0.716708,0.777033,COM.teach,-0.060325,9.149643,0.496,True
triumph,v,EMO.joy,0.842188,0.902513,ACT.calm,-0.060325,7.277109,0.3419,False
dispel,v,ACT.dissolve,0.825761,0.886082,CHG.decay,-0.060322,7.086415,0.3211,False
pansexual,n,SOC.individual,0.842039,0.902346,FND.intuition,-0.060307,9.135556,0.492,False
washable,adj,EXS.being,0.785787,0.846093,ACT.lose,-0.060306,6.761008,0.3136,False
antiquarian,adj,SOC.individual,0.867957,0.928256,ECO.save,-0.060299,8.432771,0.8138,False
lay in,v,ECO.save,0.848146,0.908442,SOC.sleep,-0.060296,5.649699,0.361,False
tighten,v,ABS.bound,0.846465,0.90676,REL.different,-0.060295,5.312677,0.3381,False
agential,adj,SOC.official,0.874391,0.934675,COM.teach,-0.060284,5.503446,0.3124,False
prevailing wind,n,ELM.wind,0.742112,0.802365,ELM.night,-0.060252,8.290808,0.6283,False
